Date,Open,High,Low,Close,Adj Close,Volume
2006-04-05,2.311071,2.400357,2.291071,2.400357,2.052348,2233408800
2006-04-06,2.439286,2.573214,2.435714,2.544286,2.175411,2663768800
2006-04-07,2.533214,2.543214,2.445357,2.492500,2.131133,1545238800
2006-04-10,2.510357,2.533214,2.444643,2.452500,2.096932,903515200
2006-04-11,2.463929,2.475000,2.395357,2.428214,2.076165,939316000
2006-04-12,2.428929,2.434643,2.367857,2.382500,2.037080,739894400
2006-04-13,2.369286,2.408571,2.350357,2.373929,2.029752,734678000
2006-04-17,2.375357,2.387143,2.298214,2.314643,1.979061,721938000
2006-04-18,2.322857,2.373929,2.313929,2.365000,2.022117,794844400
2006-04-19,2.386429,2.392857,2.338214,2.344643,2.004712,1086033200
2006-04-20,2.482500,2.500000,2.364286,2.415357,2.065173,1666982800
2006-04-21,2.435357,2.451429,2.373929,2.394286,2.047157,788986800
2006-04-24,2.387500,2.390000,2.339286,2.348214,2.007765,707028000
2006-04-25,2.355714,2.378214,2.341429,2.363214,2.020590,529062800
2006-04-26,2.380357,2.438571,2.371429,2.433929,2.081054,710886400
2006-04-27,2.418929,2.495000,2.405357,2.477143,2.118001,845947200
2006-04-28,2.477857,2.546429,2.471429,2.513929,2.149455,760037600
2006-05-01,2.527500,2.555000,2.470000,2.485714,2.125330,750380400
2006-05-02,2.505357,2.570714,2.503929,2.557857,2.187014,771663200
2006-05-03,2.565357,2.569643,2.506429,2.540714,2.172356,686991200
2006-05-04,2.543571,2.603214,2.516429,2.540357,2.172051,860420400
2006-05-05,2.566429,2.580357,2.541071,2.567500,2.195260,563911600
2006-05-08,2.606786,2.635714,2.561429,2.567500,2.195260,594851600
2006-05-09,2.565000,2.591429,2.522143,2.536786,2.168998,531666800
2006-05-10,2.546071,2.547500,2.486071,2.521429,2.155867,459888800
2006-05-11,2.528214,2.530000,2.412500,2.433929,2.081054,812688800
2006-05-12,2.423214,2.453214,2.387857,2.417857,2.067312,641774000
2006-05-15,2.406071,2.442143,2.397143,2.421071,2.070059,529177600
2006-05-16,2.432143,2.437500,2.312500,2.320714,1.984253,936740000
2006-05-17,2.311071,2.346429,2.288214,2.330714,1.992803,754194000
2006-05-18,2.345714,2.366429,2.254286,2.256429,1.929287,658442400
2006-05-19,2.259286,2.317143,2.243571,2.303929,1.969901,985866000
2006-05-22,2.281071,2.285357,2.241786,2.263571,1.935394,718975600
2006-05-23,2.316429,2.328214,2.250000,2.255357,1.928370,694414000
2006-05-24,2.249643,2.273214,2.198571,2.262143,1.934173,916031200
2006-05-25,2.295000,2.301786,2.260357,2.297500,1.964404,463372000
2006-05-26,2.296786,2.305714,2.255000,2.269643,1.940585,432950000
2006-05-30,2.260357,2.260714,2.186429,2.186429,1.869436,563402000
2006-05-31,2.205714,2.206786,2.096071,2.134643,1.825158,1280977600
2006-06-01,2.137500,2.224286,2.125714,2.220357,1.898445,942508000
2006-06-02,2.249643,2.253571,2.174286,2.202143,1.882872,685787200
2006-06-05,2.183929,2.183929,2.141786,2.142857,1.832181,605785600
2006-06-06,2.150714,2.165357,2.103929,2.132857,1.823631,726037200
2006-06-07,2.146429,2.157143,2.083929,2.091429,1.788209,750506400
2006-06-08,2.087143,2.176071,2.041071,2.170000,1.855389,1397482800
2006-06-09,2.185000,2.198571,2.110714,2.115714,1.808973,775838000
2006-06-12,2.121429,2.133214,2.034286,2.035714,1.740572,717785600
2006-06-13,2.057500,2.110714,2.048571,2.083214,1.781185,1080643200
2006-06-14,2.081429,2.099286,2.024643,2.057500,1.759199,878136000
2006-06-15,2.046429,2.133571,2.026786,2.120714,1.813249,1190383600
2006-06-16,2.105714,2.113929,2.054286,2.055714,1.757672,838101600
2006-06-19,2.065357,2.077857,2.035714,2.042857,1.746679,704575200
2006-06-20,2.057500,2.083929,2.046071,2.052500,1.754924,672974400
2006-06-21,2.062143,2.096786,2.046429,2.066429,1.766834,863296000
2006-06-22,2.078571,2.133929,2.073929,2.127857,1.819356,965633200
2006-06-23,2.132857,2.148929,2.097500,2.101071,1.796453,660203600
2006-06-26,2.113214,2.114286,2.084643,2.106786,1.801340,466536000
2006-06-27,2.110357,2.115000,2.050000,2.051071,1.753703,550611600
2006-06-28,2.046071,2.046429,1.978929,2.000714,1.710646,850704400
2006-06-29,2.027143,2.110357,2.013929,2.106071,1.800728,873398400
2006-06-30,2.056786,2.062500,2.017857,2.045357,1.748817,739695600
2006-07-03,2.054286,2.077857,2.047857,2.069643,1.769582,194770800
2006-07-05,2.041071,2.057143,2.020000,2.035714,1.740572,518240800
2006-07-06,2.038929,2.050000,1.986071,1.991786,1.703013,633208800
2006-07-07,1.981429,2.019643,1.952500,1.978571,1.691714,799360800
2006-07-10,1.989286,2.017500,1.946429,1.964286,1.679500,529345600
2006-07-11,1.968214,1.999643,1.947500,1.987500,1.699348,825022800
2006-07-12,1.970357,1.972857,1.890000,1.891429,1.617206,927329200
2006-07-13,1.858214,1.932857,1.836071,1.866071,1.595524,1249906000
